year,ref_number,utm_easting,utm_northing,num_vehicles,num_casualties,accident_date,time,time_mins,first_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,casualty_sex,casualty_age,vehicle_type
2011,110289184,425172,434326,1,4,6/24/11,2335,1415,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Fatal,Male,23,9
2011,110289184,425172,434326,1,4,6/24/11,2335,1415,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,28,9
2011,110289184,425172,434326,1,4,6/24/11,2335,1415,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,26,9
2011,110555860,427170,430583,1,1,12/04/11,2335,1415,1,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,20,9
2012,120401357,428115,433156,1,1,9/15/12,2335,1415,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,32,9
2012,120443351,432092,428739,1,2,10/14/12,2335,1415,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,27,9
2012,120443351,432092,428739,1,2,10/14/12,2335,1415,1,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,21,9
2012,130000038,426294,426829,2,1,12/31/12,2335,1415,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,32,9
2010,10CA0005797,430243,433402,1,2,8/27/10,2334,1414,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,25,9
2010,10CA0005797,430243,433402,1,2,8/27/10,2334,1414,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,22,9
2011,110165636,430498,437097,5,3,4/09/11,2333,1413,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,22,9
2011,110165636,430498,437097,5,3,4/09/11,2333,1413,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,56,9
2011,110165636,430498,437097,5,3,4/09/11,2333,1413,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,36,9
2013,130134200,430120,433229,1,1,3/29/13,2333,1413,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,39,9
2009,20209,443242,439661,1,1,1/11/09,2332,1412,2,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,9
2009,80409,435821,435759,3,2,1/29/09,2332,1412,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,9
2009,80409,435821,435759,3,2,1/29/09,2332,1412,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,22,9
2009,22509,431463,432466,1,1,1/05/09,2330,1410,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,9
2009,202609,421937,443972,2,3,3/14/09,2330,1410,6,Dry,Darkness: no street lighting,Fine with high winds,Driver or rider,Slight,Male,30,9
2009,202609,421937,443972,2,3,3/14/09,2330,1410,6,Dry,Darkness: no street lighting,Fine with high winds,Driver or rider,Slight,Female,20,9
2009,202609,421937,443972,2,3,3/14/09,2330,1410,6,Dry,Darkness: no street lighting,Fine with high winds,Vehicle or pillion passenger,Slight,Male,26,9
2009,409409,430827,433531,1,1,5/17/09,2330,1410,6,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Male,62,9
2009,487809,430082,435418,2,1,6/19/09,2330,1410,6,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,31,1
2009,502409,428956,435471,2,1,6/23/09,2330,1410,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,26,9
2009,574409,424020,434108,2,1,7/11/09,2330,1410,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,32,9
2010,10CA0004046,428609,432730,2,1,5/27/10,2330,1410,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,37,9
2010,10BA0005157,432390,443627,1,1,7/11/10,2330,1410,3,Dry,Darkness: no street lighting,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,9
2010,10CA0006326,430639,433798,1,1,9/29/10,2330,1410,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,19,9
2010,10CA0513965,430276,433064,1,1,11/20/10,2330,1410,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,36,8
2011,110070052,431968,435832,2,2,2/11/11,2330,1410,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,25,9
2011,110070052,431968,435832,2,2,2/11/11,2330,1410,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,20,9
2011,110360590,430495,425016,2,1,8/05/11,2330,1410,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,46,5
2012,120236987,429796,433788,2,2,5/30/12,2330,1410,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,45,9
2012,120236987,429796,433788,2,2,5/30/12,2330,1410,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,32,9
2012,120396437,428010,435996,2,1,9/11/12,2330,1410,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,25,1
2012,120471770,430333,433389,2,1,10/28/12,2330,1410,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,20,1
2013,130472287,428096,434660,2,2,11/15/13,2330,1410,6,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,25,9
2013,130472287,428096,434660,2,2,11/15/13,2330,1410,6,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,21,9
2013,130251975,430763,439209,2,2,6/18/13,2329,1409,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,22,9
2013,130251975,430763,439209,2,2,6/18/13,2329,1409,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,42,9
2009,454209,437525,433018,1,1,6/02/09,2327,1407,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,23,9
2013,0CU1531,430547,431510,1,4,12/30/13,2327,1407,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,38,9
2013,0CU1531,430547,431510,1,4,12/30/13,2327,1407,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,35,9
2013,0CU1531,430547,431510,1,4,12/30/13,2327,1407,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Serious,Female,33,9
2013,0CU1531,430547,431510,1,4,12/30/13,2327,1407,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,30,9
2009,325509,430806,433873,1,1,4/25/09,2325,1405,3,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,36,9
2010,10AA0001955,419616,438542,1,1,3/15/10,2325,1405,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,40,9
